,1st_bond_start,1st_bond_end,looping_start,looping_end,cv2_start,cv2_end,2nd_bond_start,2nd_bond_end,reset_motion_start,reset_motion_end
258,,,1413667,1415150.0,1415150.0,1415410.0,1415410.0,1416521.0,1416521.0,1416568
259,,,1416569,1421162.0,1421162.0,1421692.0,1421692.0,1422330.0,1422330.0,1424508
261,,,1426812,1431432.0,1431432.0,1431977.0,1431977.0,1432592.0,1432592.0,1434782
263,,,1437085,1441721.0,1441721.0,1442266.0,1442266.0,1442901.0,1442901.0,1445059
265,,,1447422,1452069.0,1452069.0,1452609.0,1452609.0,1453229.0,1453229.0,1455421
267,,,1457743,1462440.0,1462440.0,1463020.0,1463020.0,1463624.0,1463624.0,1465799
269,,,1468130,1472709.0,1472709.0,1473234.0,1473234.0,1473877.0,1473877.0,1475514
270,,,1475515,1477928.0,1477928.0,1478208.0,1478208.0,1478331.0,1478331.0,1478370
271,,,1478371,1482970.0,1482970.0,1483535.0,1483535.0,1484130.0,1484130.0,1486288
273,,,1488623,1493290.0,1493290.0,1493840.0,1493840.0,1494466.0,1494466.0,1496657
275,,,1498976,1503739.0,1503739.0,1504304.0,1504304.0,1504907.0,1504907.0,1507166
277,,,1509443,1514318.0,1514318.0,1514848.0,1514848.0,1515504.0,1515504.0,1517757
279,,,1520079,1524719.0,1524719.0,1525289.0,1525289.0,1525888.0,1525888.0,1528139
281,,,1530457,1535412.0,1535412.0,1535997.0,1535997.0,1536578.0,1536578.0,1538868
283,,,1541154,1545918.0,1545918.0,1546513.0,1546513.0,1547105.0,1547105.0,1549420
285,,,1551752,1556398.0,1556398.0,1556988.0,1556988.0,1557544.0,1557544.0,1559768
287,,,1562054,1566746.0,1566746.0,1567176.0,1567176.0,1567907.0,1567907.0,1570088
289,,,1572428,1577183.0,1577183.0,1577753.0,1577753.0,1578381.0,1578381.0,1580643
291,,,1582926,1587703.0,1587703.0,1588283.0,1588283.0,1588841.0,1588841.0,1591088
293,,,1593382,1597963.0,1597963.0,1598593.0,1598593.0,1599146.0,1599146.0,1601385
295,,,1603712,1608577.0,1608577.0,1609197.0,1609197.0,1609770.0,1609770.0,1612017
297,,,1614340,1619003.0,1619003.0,1619623.0,1619623.0,1620192.0,1620192.0,1621887
298,,,1621888,1622935.0,1622935.0,1622995.0,1622995.0,1623227.0,1623227.0,1624760
299,,,1624761,1629730.0,1629730.0,1630330.0,1630330.0,1630912.0,1630912.0,1633203
301,,,1635477,1640550.0,1640550.0,1641105.0,1641105.0,1641756.0,1641756.0,1644103
303,,,1646366,1651530.0,1651530.0,1652035.0,1652035.0,1652733.0,1652733.0,1655047
305,,,1657368,1662546.0,1662546.0,1663026.0,1663026.0,1663768.0,1663768.0,1666264
307,,,1668564,1671864.0,1671864.0,1672454.0,1672454.0,1672989.0,1672989.0,1675147
309,,,1677452,1681979.0,1681979.0,1682634.0,1682634.0,1683165.0,1683165.0,1685561
311,,,1687896,1692510.0,1692510.0,1693125.0,1693125.0,1693691.0,1693691.0,1695870
313,,,1698193,1701588.0,1701588.0,1702193.0,1702193.0,1702734.0,1702734.0,1704885
